VARUNR,LNAMN,FREQUENCY,TARGET_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_CONCEPT_CLASS_ID
85093,"Metformin Actavis, filmdragerad tablett 850 mg",5596,40164946,Metformin hydrochloride 850 MG Oral Tablet,Clinical Drug
419730,"Brilique, filmdragerad tablett 90 mg AstraZeneca A",5582,40241188,Ticagrelor 90 MG Oral Tablet,Clinical Drug
33601,"Pantoprazol Actavis, enterotablett 20 mg",5571,948079,pantoprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
23224,Amlodipin Actavis tabl  5mg,5556,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
128835,"Verapamil Mylan, tablett 120 mg",5552,40171852,Verapamil hydrochloride 120 MG Oral Tablet,Clinical Drug
140153,"Losartan Medical Valley, filmdragerad tablett 50 m",5539,40185304,Losartan Potassium 50 MG Oral Tablet,Clinical Drug
425086,"Crestor, Filmdragerad tablett 10 mg Orifarm AB",5507,40165245,Rosuvastatin calcium 10 MG Oral Tablet,Clinical Drug
560912,SelokenZOC depta  100mg Parano,5500,40167200,metoprolol succinate 100 MG Extended Release Oral Tablet,Clinical Drug
148593,"Viskén, tablett 5 mg",5488,19019663,Pindolol 5 MG Oral Tablet,Clinical Drug
180851,"Hydergin, tablett 1 mg",5482,745372,"ergoloid mesylates, USP 1 MG Oral Tablet",Clinical Drug
587485,"Lipanthyl, kapsel, hård 200 mg BGP Products AB",5473,1551865,Fenofibrate 200 MG,Clinical Drug Comp
140156,"Hydrochlorothiazide Orifarm, tablett 25 mg",5467,19078106,Hydrochlorothiazide 25 MG Oral Tablet,Clinical Drug
115782,"Moduretic, tablett 5 mg / 50 mg",5462,NA,NA,Not Mapped*
91694,Renitec tabl 20mg MSD,5459,40165773,Enalapril Maleate 20 MG Oral Tablet,Clinical Drug
44145,"Enalapril Teva, tablett 2,5 mg",5455,40165767,Enalapril Maleate 2.5 MG Oral Tablet,Clinical Drug
176131,"Monoket OD, depotkapsel, hård 100 mg",5454,19069136,Isosorbide Mononitrate,Ingredient
79815,"Tambocor, tablett 100 mg Medartuum AB",5438,40169046,Flecainide Acetate 100 MG Oral Tablet,Clinical Drug
70052,"Viskén, tablett 5 mg",5417,19019663,Pindolol 5 MG Oral Tablet,Clinical Drug
153107,"Amias, tablett 32 mg Medartuum AB",5412,1351587,candesartan cilexetil 32 MG Oral Tablet,Clinical Drug
474254,Emconcor tabl  5mg Merck,5405,40162878,Bisoprolol Fumarate 5 MG Oral Tablet,Clinical Drug
50365,"Victoza, inj-vätska, lösning, förfylld injektionsp",5397,46234110,liraglutide Pen Injector,Clinical Drug Form
93725,"Metolazon Abcur, tablett 5 mg",5396,907020,Metolazone 5 MG Oral Tablet,Clinical Drug
21420,Omeprazol Paranova kaps 20mg,5393,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
20023,Norvasc tabl  5mg Cross Pharm,5391,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
61584,"Lipitor, filmdragerad tablett 10 mg Pfizer AB",5368,1545997,atorvastatin 10 MG Oral Tablet,Clinical Drug
38499,"Candesartan Actavis, tablett 4 mg",5361,1351558,candesartan cilexetil 4 MG Oral Tablet,Clinical Drug
19718,"Levemir, inj-vätska, lösning, cylinderamp 100 E/ml",5360,1516976,insulin detemir,Ingredient
478074,"Metformin Orifarm, Filmdragerad tablett 500 mg",5359,40164929,Metformin hydrochloride 500 MG Oral Tablet,Clinical Drug
8710,"NovoNorm, tablett 0,5 mg Pharmachim AB",5342,19023425,repaglinide 0.5 MG Oral Tablet,Clinical Drug
121982,"Naproxen Bluefish, tablett 250 mg",5337,19019272,Naproxen 250 MG Oral Tablet,Clinical Drug
8922,"NovoNorm, tablett 1 mg Pharmachim AB",5328,19023424,repaglinide 1 MG Oral Tablet,Clinical Drug
2990,Diklofenak Sandoz enttabl 25mg,5326,40162335,Diclofenac Sodium 25 MG Delayed Release Oral Tablet,Clinical Drug
14962,"Lisinopril Ranbaxy, tablett 20 mg",5310,19080129,Lisinopril 20 MG Oral Tablet,Clinical Drug
24853,Diklofenak Orifarm entta 50mg,5305,40162346,Diclofenac Sodium 50 MG Delayed Release Oral Tablet,Clinical Drug
11306,"Arcoxia, filmdragerad tablett 90 mg Merck Sharp &",5300,19101674,etoricoxib 90 MG Oral Tablet,Clinical Drug
20978,"Linatil comp, tablett 20 mg/12,5 mg",5297,NA,NA,Not Mapped*
170243,"Metformin Orifarm, filmdragerad tablett 500 mg",5279,40164929,Metformin hydrochloride 500 MG Oral Tablet,Clinical Drug
52041,"Metoprolol Sandoz, depottablett 25 mg",5269,40167211,metoprolol succinate 25 MG Extended Release Oral Tablet,Clinical Drug
21102,"Diovan, filmdragerad tablett 160 mg Orifarm AB",5266,19096678,valsartan 160 MG Oral Tablet,Clinical Drug
78632,"Apidra (SoloStar), inj-vätska, lösning i förfylld",5246,46233875,"Insulin, Glulisine, Human Pen Injector",Clinical Drug Form
447047,"Brilique, filmdragerad tablett 90 mg AstraZeneca A",5234,40241188,Ticagrelor 90 MG Oral Tablet,Clinical Drug
584243,"Captopril Mylan, tablett 50 mg",5233,19074673,Captopril 50 MG Oral Tablet,Clinical Drug
435974,"Sorbangil, tablett 10 mg",5231,19100691,Isosorbide Dinitrate 10 MG Oral Tablet,Clinical Drug
60293,"Glucophage, filmdragerad tablett 850 mg",5224,40164946,Metformin hydrochloride 850 MG Oral Tablet,Clinical Drug
589289,"Bisostad, Tablett 1,25 mg",5222,40166187,Bisoprolol Fumarate 1.25 MG Oral Tablet,Clinical Drug
11699,Lipitor tabl 10mg Paranova,5203,1545997,atorvastatin 10 MG Oral Tablet,Clinical Drug
1421,"Nexium, enterotablett 20 mg AstraZeneca AB",5201,904457,Esomeprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
59160,"Alfadil BPH, depottablett 8 mg Pfizer AB",5191,1363087,Doxazosin 8 MG Extended Release Oral Tablet,Clinical Drug
370841,Ranitidin Hexal 150mg,5184,961050,Ranitidine 150 MG Oral Tablet,Clinical Drug
514886,"Candexetil, tablett 16 mg",5171,1351583,candesartan cilexetil 16 MG Oral Tablet,Clinical Drug
144442,"Losartan Bluefish, filmdragerad tablett 100 mg",5162,40185276,Losartan Potassium 100 MG Oral Tablet,Clinical Drug
156440,"Valsartan Actavis, filmdragerad tablett 80 mg",5152,1308851,valsartan 80 MG Oral Tablet,Clinical Drug
25253,"Amlodipin STADA, tablett 10 mg",5147,19073093,Amlodipine 10 MG Oral Tablet,Clinical Drug
584219,"Captopril Mylan, tablett 25 mg",5143,1340161,Captopril 25 MG Oral Tablet,Clinical Drug
28704,"Nitroglycerin Recip, resoriblett, sublingual 0,5 m",5141,1361861,Nitroglycerin 0.5 MG Sublingual Tablet,Clinical Drug
574218,"Victoza, inj-vätska, lösning i förfylld injektions",5133,46234110,liraglutide Pen Injector,Clinical Drug Form
191692,"Plendil, depottablett 2,5 mg AstraZeneca AB",5132,1353780,Felodipine 2.5 MG Extended Release Oral Tablet,Clinical Drug
12786,"Carvedilol HEXAL, tablett 25 mg",5119,19022781,carvedilol 25 MG Oral Tablet,Clinical Drug
12990,"Captopril Actavis, tablett 50 mg",5096,19074673,Captopril 50 MG Oral Tablet,Clinical Drug
131863,"Xarelto, filmdragerad tablett 10 mg Bayer AB",5096,40241333,rivaroxaban 10 MG Oral Tablet,Clinical Drug
83078,"Lipitor, filmdragerad tablett 40 mg Cross Pharma A",5094,1545996,atorvastatin 40 MG Oral Tablet,Clinical Drug
127251,"Losartan Mylan, filmdragerad tablett 50 mg",5092,40185304,Losartan Potassium 50 MG Oral Tablet,Clinical Drug
459123,"Renitec, tablett 10 mg",5089,40165762,Enalapril Maleate 10 MG Oral Tablet,Clinical Drug
1465,"Nexium, enterotablett 40 mg AstraZeneca AB",5084,904458,Esomeprazole 40 MG Delayed Release Oral Tablet,Clinical Drug
20539,"Nitrolingual spr 0,4mg/dos Ori",5079,40139614,Nitroglycerin Mucosal Spray,Clinical Drug Form
140650,Omeprazol AGP kaps 20mg,5052,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
4651,"Diclofenac T ratiopharm, filmdragerad tablett 50 m",5040,40162307,Diclofenac Potassium 50 MG Oral Tablet,Clinical Drug
198365,"Ramipril Teva, tablett 1,25 mg",5033,19102169,Ramipril 1.25 MG Oral Tablet,Clinical Drug
11842,"Questran Loc, pulver till oral suspension, dospåse",5024,19095309,Cholestyramine Resin,Ingredient
14178,"NovoNorm, tablett 0,5 mg Paranova Läkemedel AB",5020,19023425,repaglinide 0.5 MG Oral Tablet,Clinical Drug
513887,"Alfadil, depottablett 4 mg Pfizer AB",5013,1363086,Doxazosin 4 MG Extended Release Oral Tablet,Clinical Drug
2738,Enalapril Sandoz tabl 10mg,5010,40165762,Enalapril Maleate 10 MG Oral Tablet,Clinical Drug
7165,"Captopril Actavis, tablett 50 mg",5000,19074673,Captopril 50 MG Oral Tablet,Clinical Drug
28965,"Valsartan Actavis, filmdragerad tablett 80 mg",4989,1308851,valsartan 80 MG Oral Tablet,Clinical Drug
464214,"Fragmin, inj-vätska, lösning, förfylld spruta 1000",4975,1301065,Dalteparin,Ingredient
128384,"Kalcidon, Tuggtablett 500 mg",4961,19074558,Calcium Carbonate 500 MG Chewable Tablet,Clinical Drug
57026,"Atacand Plus, tablett 16 mg/12,5 mg AstraZeneca AB",4946,NA,NA,Not Mapped*
29729,"Atacand Plus, tablett 32 mg/25 mg",4941,NA,NA,Not Mapped*
590076,"Candesarstad, tablett 32 mg",4932,1351587,candesartan cilexetil 32 MG Oral Tablet,Clinical Drug
25930,Lisinopril Merck NM tabl 20 mg Mylan,4931,1308216,Lisinopril,Ingredient
39688,"Diclofenac BMM Pharma, enterotablett 50 mg",4918,40162346,Diclofenac Sodium 50 MG Delayed Release Oral Tablet,Clinical Drug
63133,"Gemfibrozil Sandoz, filmdragerad tablett 600 mg",4916,19077577,Gemfibrozil 600 MG Oral Tablet,Clinical Drug
560502,"Enalapril/Hydrochlorothiazide Mylan, tablett 20 mg",4901,NA,NA,Not Mapped*
434127,"Xarelto, filmdragerad tablett 15 mg Bayer AB",4894,40244444,rivaroxaban 15 MG Oral Tablet,Clinical Drug
94006,"Bisomyl, filmdragerad tablett 2,5 mg",4893,40166188,Bisoprolol Fumarate 2.5 MG Oral Tablet,Clinical Drug
593871,"Triatec comp, tablett 5 mg/25 mg sanofi-aventis AB",4886,NA,NA,Not Mapped*
49594,"Pantoprazol Pensa, enterotablett 20 mg",4878,948079,pantoprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
591605,"Clopidogrel Teva, Filmdragerad tablett 75 mg",4876,19075601,clopidogrel 75 MG Oral Tablet,Clinical Drug
592092,"Pradaxa, kapsel, hård 150 mg Cross Pharma AB",4865,40228153,dabigatran etexilate 150 MG,Clinical Drug Comp
469346,"Lopid, filmdragerad tablett 600 mg Pfizer AB",4859,19077577,Gemfibrozil 600 MG Oral Tablet,Clinical Drug
5819,"Norvasc, tablett 5 mg Pfizer AB",4836,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
585661,"Heparin LEO, inj-vätska, lösning 100 IE/ml",4819,1367571,Heparin,Ingredient
8988,Diklofenak Sandoz enttabl 25mg,4817,40162335,Diclofenac Sodium 25 MG Delayed Release Oral Tablet,Clinical Drug
437574,"Naprosyn Entero, enterotablett 250 mg",4815,19008095,Naproxen 250 MG Delayed Release Oral Tablet,Clinical Drug
477009,"Nitroglycerin Recip, resoriblett, sublingual 0,5 m",4800,1361861,Nitroglycerin 0.5 MG Sublingual Tablet,Clinical Drug
29706,"Atacand Plus, tablett 32 mg/12,5 mg",4786,NA,NA,Not Mapped*
400143,"Lopid, kapsel, hård 300 mg Pfizer AB",4785,1558248,Gemfibrozil 300 MG,Clinical Drug Comp
531715,"Lomir SRO, depotkapsel, hård 5 mg Cross Pharma AB",4778,1326020,Isradipine 5 MG Extended Release Oral Capsule,Clinical Drug
128298,"Normorix mite, tablett 2,5 mg/25 mg",4770,NA,NA,Not Mapped*
121408,"Tahor, filmdragerad tablett 40 mg Orifarm AB",4765,1545996,atorvastatin 40 MG Oral Tablet,Clinical Drug
65933,"Amlodipin Krka, tablett 5 mg",4762,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
47464,"Voltaren T, dragerad tablett 50 mg Novartis Sverig",4757,40162307,Diclofenac Potassium 50 MG Oral Tablet,Clinical Drug
110896,Nexium enterotabl 20mg Europha,4737,904457,Esomeprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
12761,"Carvedilol HEXAL, tablett 12,5 mg",4731,19022750,carvedilol 12.5 MG Oral Tablet,Clinical Drug
433032,"Xarelto, filmdragerad tablett 20 mg Cross Pharma A",4720,40244448,rivaroxaban 20 MG Oral Tablet,Clinical Drug
25638,"Glukosamin Copyfarm, filmdragerad tablett 400 mg",4719,19132996,Glucosamine hydrochloride 400 MG,Clinical Drug Comp
25638,"Glukosamin Copyfarm, filmdragerad tablett 400 mg",4719,1360411,Glucosamine 400 MG,Clinical Drug Comp
158485,Alfadil BPH depottabl 4mg,4714,1363086,Doxazosin 4 MG Extended Release Oral Tablet,Clinical Drug
52803,"Cardizem Unotard, depottablett 240 mg",4706,1328612,Diltiazem Hydrochloride 240 MG Extended Release Oral Tablet,Clinical Drug
52803,"Cardizem Unotard, depottablett 240 mg",4706,19134555,Diltiazem 240 MG Extended Release Oral Tablet,Clinical Drug
492520,"Losec, enterotablett 10 mg",4699,19102188,Omeprazole 10 MG Delayed Release Oral Tablet,Clinical Drug
12939,"Atacand, tablett 4 mg Orifarm AB",4693,1351558,candesartan cilexetil 4 MG Oral Tablet,Clinical Drug
450953,"Amlodipin Jubilant, tablett 10 mg",4691,19073093,Amlodipine 10 MG Oral Tablet,Clinical Drug
80560,"Zoton, munsönderfallande tablett 30 mg Medartuum A",4655,19098167,lansoprazole 30 MG Disintegrating Oral Tablet,Clinical Drug
24269,"Moxonidin STADA, filmdragerad tablett 0,2 mg",4634,19063073,moxonidine 0.2 MG Oral Tablet,Clinical Drug
13767,"Diovan Comp, filmdragerad tablett 160 mg/25 mg Nov",4633,NA,NA,Not Mapped*
37608,"Esomeprazol Pensa, enterotablett 20 mg",4630,904457,Esomeprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
1454,"Nexium, enterotablett 40 mg AstraZeneca AB",4611,904458,Esomeprazole 40 MG Delayed Release Oral Tablet,Clinical Drug
569798,"Accupro Comp, filmdragerad tablett 20/12,5 mg",4609,NA,NA,Not Mapped*
62273,"Voltaren, suppositorium 50 mg",4601,40162341,Diclofenac Sodium 50 MG,Clinical Drug Comp
62273,"Voltaren, suppositorium 50 mg",4601,40162306,Diclofenac Potassium 50 MG,Clinical Drug Comp
15339,"Aprovel, tablett 150 mg Orifarm AB",4595,19022948,irbesartan 150 MG Oral Tablet,Clinical Drug
96899,"Candesartan Ranbaxy, Tablett 4 mg",4566,1351558,candesartan cilexetil 4 MG Oral Tablet,Clinical Drug
416322,"Candesarstad Comp, tablett 16 mg/12,5 mg",4566,NA,NA,Not Mapped*
24407,"Naproxen Orifarm, tablett 250 mg",4554,19019272,Naproxen 250 MG Oral Tablet,Clinical Drug
98719,"Losartan/Hydroklortiazid Actavis, filmdragerad tab",4553,NA,NA,Not Mapped*
99998,"Losazid Comp ta 50mg/12,5mg Me",4546,NA,NA,Not Mapped*
98050,"Amlarrow, tablett 10 mg",4542,19073093,Amlodipine 10 MG Oral Tablet,Clinical Drug
94680,SelokenZOC depta  100mg Orifar,4539,40167200,metoprolol succinate 100 MG Extended Release Oral Tablet,Clinical Drug
503096,"Ramipril Krka, tablett 10 mg",4528,19102170,Ramipril 10 MG Oral Tablet,Clinical Drug
532687,"Ranitidin Sandoz, filmdragerad tablett 150 mg",4513,961050,Ranitidine 150 MG Oral Tablet,Clinical Drug
2645,"Omeprazol Mylan, enterokapsel, hård 20 mg",4497,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
554303,"Glucophage, filmdragerad tablett 850 mg",4493,40164946,Metformin hydrochloride 850 MG Oral Tablet,Clinical Drug
3048,Lipitor tabl 80mg Pfizer,4489,1545959,atorvastatin 80 MG Oral Tablet,Clinical Drug
11897,"Felodipin HEXAL, depottablett 5 mg",4488,1353818,Felodipine 5 MG Extended Release Oral Tablet,Clinical Drug
82579,"Lanzo, munsönderfallande tablett 30 mg Orifarm AB",4479,19098167,lansoprazole 30 MG Disintegrating Oral Tablet,Clinical Drug
419614,"Captopril Mylan, tablett 12,5 mg",4479,19074672,Captopril 12.5 MG Oral Tablet,Clinical Drug
374603,"Klexane, inj-vätska, lösning, förfylld spruta 100",4477,1301025,Enoxaparin,Ingredient
34411,"Esomeprazol Pensa, enterotablett 40 mg",4467,904458,Esomeprazole 40 MG Delayed Release Oral Tablet,Clinical Drug
556407,"Kredex, tablett 6,25 mg",4460,19022749,carvedilol 6.25 MG Oral Tablet,Clinical Drug
11216,"Arcoxia, filmdragerad tablett 60 mg Merck Sharp &",4447,19011356,etoricoxib 60 MG Oral Tablet,Clinical Drug
38815,"Atorvastatin Ranbaxy, filmdragerad tablett 80 mg",4446,1545959,atorvastatin 80 MG Oral Tablet,Clinical Drug
121993,"Naproxen Bluefish, tablett 500 mg",4432,19019273,Naproxen 500 MG Oral Tablet,Clinical Drug
80733,Lipitor tabl 80mg Pharmachim,4418,1545959,atorvastatin 80 MG Oral Tablet,Clinical Drug
150352,"Diklofenak Orifarm, enterotablett 50 mg",4405,40162346,Diclofenac Sodium 50 MG Delayed Release Oral Tablet,Clinical Drug
549844,"Atenolol Teva, filmdragerad tablett 50 mg",4401,1314008,Atenolol 50 MG Oral Tablet,Clinical Drug
155499,"Brufen, filmdragerad tablett 400 mg",4382,19019072,Ibuprofen 400 MG Oral Tablet,Clinical Drug
59318,"Metformin Mylan, filmdragerad tablett 850 mg",4371,40164946,Metformin hydrochloride 850 MG Oral Tablet,Clinical Drug
518399,"Plendil deptabl  2,5mg Medartu",4371,1353780,Felodipine 2.5 MG Extended Release Oral Tablet,Clinical Drug
4191,"Pantoloc, enterotablett 20 mg",4368,948079,pantoprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
20469,"Durbis, kapsel, hård 100 mg",4361,19076627,Disopyramide 100 MG Extended Release Oral Capsule,Clinical Drug
570077,"Andapsin, oral suspension 200 mg/ml Orion Pharma A",4360,40080150,Sucralfate Oral Suspension,Clinical Drug Form
813643,"Marcoumar, tablett 3 mg",4355,19079272,Phenprocoumon 3 MG Oral Tablet,Clinical Drug
78171,"Klopidogrel Arrow, filmdragerad tablett 75 mg",4350,19075601,clopidogrel 75 MG Oral Tablet,Clinical Drug
109748,"Hydroklortiazid Evolan, tablett 12,5 mg",4347,19106768,Hydrochlorothiazide 12.5 MG Oral Tablet,Clinical Drug
16642,"Physiotens, filmdragerad tablett 0,2 mg",4342,19063073,moxonidine 0.2 MG Oral Tablet,Clinical Drug
537786,"Omeprazol Teva, Enterokapsel, hård 10 mg",4331,923647,Omeprazole 10 MG Delayed Release Oral Capsule,Clinical Drug
11282,"Arcoxia, filmdragerad tablett 90 mg Merck Sharp &",4327,19101674,etoricoxib 90 MG Oral Tablet,Clinical Drug
23981,"Relifex, filmdragerad tablett 1 g",4323,40057840,nabumetone Oral Tablet,Clinical Drug Form
567073,"Avandia, filmdragerad tablett 4 mg GlaxoSmithKline",4313,19079465,rosiglitazone 4 MG Oral Tablet,Clinical Drug
8931,"NovoNorm, tablett 2 mg Pharmachim AB",4302,19023426,repaglinide 2 MG Oral Tablet,Clinical Drug
563700,"Lescol, kapsel, hård 40 mg Novartis Sverige AB",4302,1549723,fluvastatin 40 MG,Clinical Drug Comp
125497,Amlodipin ratiopharm tabl  5mg,4297,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
166596,"Metformin EQL Pharma, filmdragerad tablett 850 mg",4296,40164946,Metformin hydrochloride 850 MG Oral Tablet,Clinical Drug
1499,Logimax depta 5mg/50mg Cross,4288,NA,NA,Not Mapped*
569041,"Candesartan Navamedic, tablett 8 mg",4287,1351559,candesartan cilexetil 8 MG Oral Tablet,Clinical Drug
4935,"Candexetil, tablett 8 mg",4275,1351559,candesartan cilexetil 8 MG Oral Tablet,Clinical Drug
17998,Carvedilol Sandoz tabl 25mg,4274,19022781,carvedilol 25 MG Oral Tablet,Clinical Drug
19127,"Milodimyl, tablett 5 mg",4270,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
156978,"Tambocor Retard, depotkapsel, hård 200 mg 2care4 A",4268,19022282,Flecainide 200 MG Extended Release Oral Capsule,Clinical Drug
28022,"MULTAQ, filmdragerad tablett 400 mg Sanofi AB",4241,40163617,dronedarone 400 MG Oral Tablet,Clinical Drug
533794,"Lomir SRO, depotkapsel, hård 5 mg Orifarm AB",4216,1326020,Isradipine 5 MG Extended Release Oral Capsule,Clinical Drug
67513,"Losartan Ranbaxy, filmdragerad tablett 50 mg",4210,40185304,Losartan Potassium 50 MG Oral Tablet,Clinical Drug
56817,"Omeprazol Teva, enterokapsel, hård 40 mg",4198,19023551,Omeprazole 40 MG Delayed Release Oral Capsule,Clinical Drug
108018,"Omeprazol Teva, enterokapsel, hård 40 mg",4185,19023551,Omeprazole 40 MG Delayed Release Oral Capsule,Clinical Drug
11260,"Arcoxia, filmdragerad tablett 90 mg Merck Sharp &",4182,19101674,etoricoxib 90 MG Oral Tablet,Clinical Drug
32794,Pantoprazol ratioph entta 20mg,4180,948079,pantoprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
16781,Amlodipin Arrow tabl  5mg,4178,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
23781,Pravastatin Nycomed tabl 20mg,4171,40175394,Pravastatin Sodium 20 MG Oral Tablet,Clinical Drug
503663,"Naproxen Orifarm, tablett 500 mg",4156,19019273,Naproxen 500 MG Oral Tablet,Clinical Drug
74313,"Losartan/Hydrochlorothiazide Teva, filmdragerad ta",4155,NA,NA,Not Mapped*
511956,"Furosemid Recip, tablett 40 mg",4152,957136,Furosemide 40 MG Oral Tablet,Clinical Drug
1590,"Zestril, tablett 10 mg AstraZeneca AB",4150,19080128,Lisinopril 10 MG Oral Tablet,Clinical Drug
27468,"Ramipril Winthrop tabl  1,25mg",4141,19102169,Ramipril 1.25 MG Oral Tablet,Clinical Drug
443,"Tenormin, filmdragerad tablett 25 mg",4138,19018811,Atenolol 25 MG Oral Tablet,Clinical Drug
8476,Atacand tabl 16mg Paranova,4137,1351583,candesartan cilexetil 16 MG Oral Tablet,Clinical Drug
10699,"Omeprazol ratiopharm, enterokapsel, hård 20 mg",4129,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
115330,"Pradaxa, kapsel, hård 75 mg Boehringer Ingelheim A",4129,40228160,dabigatran etexilate 75 MG,Clinical Drug Comp
84175,"Losarstad Comp, filmdragerad tablett 100 mg/12,5 m",4126,NA,NA,Not Mapped*
390514,"Isoptin Retard, depottablett 240 mg 2care4 ApS",4123,40171884,Verapamil hydrochloride 240 MG Extended Release Oral Tablet,Clinical Drug
16053,"Felodipin Mylan, depottablett 5 mg",4120,1353818,Felodipine 5 MG Extended Release Oral Tablet,Clinical Drug
24771,"Glucosine, filmdragerad tablett 625 mg",4115,19129266,Glucosamine 625 MG Oral Tablet,Clinical Drug
19126,"Lisinopril/Hydrochlorthiazid Sandoz, tablett 10 mg",4114,NA,NA,Not Mapped*
459768,"Naprosyn Entero, enterotablett 500 mg",4099,1115067,Naproxen 500 MG Delayed Release Oral Tablet,Clinical Drug
407577,"Naproxen Bluefish, tablett 500 mg",4093,19019273,Naproxen 500 MG Oral Tablet,Clinical Drug
193813,"Calcium-Sandoz, brustablett 500 mg",4092,NA,NA,Not Mapped*
3252,"Aranesp, inj-vätska, lösning, förfylld spruta 30 m",4071,46234250,darbepoetin alfa Injection,Clinical Drug Form
496679,Trandate tabl 100mg,4064,40169683,Labetalol hydrochloride 100 MG Oral Tablet,Clinical Drug
583195,"Lestid, tablett 1 g",4053,40025372,Colestipol Oral Tablet,Clinical Drug Form
96752,"Innohep, inj-vätska, lösning, förfylld spruta 10 0",4052,1308473,tinzaparin,Ingredient
1855,"Zestril, tablett 5 mg AstraZeneca AB",4051,1308251,Lisinopril 5 MG Oral Tablet,Clinical Drug
10538,"Calcium-Sandoz, brustablett 1000 mg",4044,NA,NA,Not Mapped*
12818,Nexium enterotabl 20mg IVAX,4039,904457,Esomeprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
127174,"Crestor, filmdragerad tablett 20 mg Medartuum AB",4024,40165253,Rosuvastatin calcium 20 MG Oral Tablet,Clinical Drug
29801,Sotalol ratiopharm tabl 160mg,4016,40173979,Sotalol Hydrochloride 160 MG Oral Tablet,Clinical Drug
7171,"Glucophage, filmdragerad tablett 1000 mg",3999,40164897,Metformin hydrochloride 1000 MG Oral Tablet,Clinical Drug
34680,"Diovan Comp, filmdragerad tablett 160 mg/12,5 mg O",3992,NA,NA,Not Mapped*
473967,"Ibumetin, tablett 400 mg",3980,19019072,Ibuprofen 400 MG Oral Tablet,Clinical Drug
18882,"Inspra, filmdragerad tablett 50 mg Pfizer AB",3968,1309801,eplerenone 50 MG Oral Tablet,Clinical Drug
466183,"Simidon, Filmdragerad tablett 10 mg",3953,1539463,Simvastatin 10 MG Oral Tablet,Clinical Drug
499673,SelokenZOC depta  100mg Medart,3941,40167200,metoprolol succinate 100 MG Extended Release Oral Tablet,Clinical Drug
139013,"Xarelto, filmdragerad tablett 15 mg Bayer AB",3935,40244444,rivaroxaban 15 MG Oral Tablet,Clinical Drug
20429,"Glucosine, filmdragerad tablett 400 mg",3931,1360411,Glucosamine 400 MG,Clinical Drug Comp
20429,"Glucosine, filmdragerad tablett 400 mg",3931,19132996,Glucosamine hydrochloride 400 MG,Clinical Drug Comp
380642,"Humalog Mix 50 Pen, inj-vätska, suspension, förfyl",3931,46233944,Insulin Lispro Pen Injector,Clinical Drug Form
496752,Trandate tabl 200mg,3929,40169689,Labetalol hydrochloride 200 MG Oral Tablet,Clinical Drug
104397,"Nexiam, enterotablett 20 mg Orifarm AB",3928,904457,Esomeprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
681,"Tenormin, filmdragerad tablett 100 mg",3919,1314006,Atenolol 100 MG Oral Tablet,Clinical Drug
16828,"Omeprazol Alternova, enterotablett 20 mg",3918,19102189,Omeprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
15427,"NovoNorm, tablett 2 mg Orifarm AB",3906,19023426,repaglinide 2 MG Oral Tablet,Clinical Drug
21342,Ramipril/Hydr Actavis 5mg/25mg,3906,NA,NA,Not Mapped*
543330,"Viskén, tablett 10 mg",3899,19019662,Pindolol 10 MG Oral Tablet,Clinical Drug
16402,"Lomir, tablett 2,5 mg Novartis Sverige AB",3892,1326015,Isradipine 2.5 MG Oral Tablet,Clinical Drug
129582,"Atorvastatin Actavis, filmdragerad tablett 10 mg",3871,1545997,atorvastatin 10 MG Oral Tablet,Clinical Drug
73434,"Tanlozid, filmdragerad tablett 100 mg/25 mg",3868,NA,NA,Not Mapped*
17941,Omeprazol Mylan kaps 40mg,3867,19023551,Omeprazole 40 MG Delayed Release Oral Capsule,Clinical Drug
12216,Nexium enterotabl 20mg Cross,3863,904457,Esomeprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
97545,"Fragmin, inj-vätska, lösning, förfylld spruta 7500",3861,1301065,Dalteparin,Ingredient
83882,"Lisinopril Actavis, tablett 20 mg",3858,19080129,Lisinopril 20 MG Oral Tablet,Clinical Drug
155920,"Candesartan Sandoz, tablett 4 mg",3857,1351558,candesartan cilexetil 4 MG Oral Tablet,Clinical Drug
