source_code,frequency,intermediate_concept_id,intermediate_code,intermediate_name,intermediate_vocabulary,target_concept_id,target_code,target_name,target_vocabulary,domain_id
Z463,960,45537642,Z46.3,Fitting and adjustment of dental prosthetic device,ICD10 code,4154623,271422003,Fit denture,SNOMED,Procedure
D100,960,45542680,D10.0,Benign neoplasm of lip,ICD10 code,135208,92185002,Benign neoplasm of lip,SNOMED,Condition
G544,960,45586303,G54.4,"Lumbosacral root disorders, not elsewhere classified",ICD10 code,74635,2415007,Lumbosacral radiculopathy,SNOMED,Condition
B359,959,45561754,B35.9,"Dermatophytosis, unspecified",ICD10 code,135473,47382004,Dermatophytosis,SNOMED,Condition
N429,958,45572712,N42.9,"Disorder of prostate, unspecified",ICD10 code,196734,30281009,Disorder of prostate,SNOMED,Condition
F520,957,45542854,F52.0,Lack or loss of sexual desire,ICD10 code,443262,270903007,Lack or loss of sexual desire,SNOMED,Condition
C690,956,45571529,C69.0,Malignant neoplasm of conjunctiva,ICD10 code,4177231,363463000,Malignant tumor of conjunctiva,SNOMED,Condition
S321,956,45592764,S32.1,Fracture of sacrum,ICD10 code,4129420,125872003,Fracture of sacrum,SNOMED,Condition
L088W,955,45601211,L08.8,Other specified local infections of skin and subcutaneous tissue,ICD10 code,443600,430348006,Localized infection of skin AND/OR subcutaneous tissue,SNOMED,Condition
D735,954,45576414,D73.5,Infarction of spleen,ICD10 code,4044745,22996003,Splenic infarction,SNOMED,Condition
Z850H,953,45542467,Z85.0,Personal history of malignant neoplasm of digestive organs,ICD10 code,4214956,417662000,History of clinical finding in subject,SNOMED,Observation
G839,952,45552550,G83.9,"Paralytic syndrome, unspecified",ICD10 code,374377,29426003,Paralytic syndrome,SNOMED,Condition
R440,952,45568133,R44.0,Auditory hallucinations,ICD10 code,4164151,45150006,Auditory hallucinations,SNOMED,Condition
S643,952,45588694,S64.3,Injury of digital nerve of thumb,ICD10 code,4062231,212284000,Injury of digital nerve of thumb,SNOMED,Condition
I788,951,45605845,I78.8,Other diseases of capillaries,ICD10 code,321876,58729003,Disorder of capillaries,SNOMED,Condition
M303,950,45557863,M30.3,Mucocutaneous lymph node syndrome [Kawasaki],ICD10 code,314381,75053002,Acute febrile mucocutaneous lymph node syndrome,SNOMED,Condition
K668,950,45567322,K66.8,Other specified disorders of peritoneum,ICD10 code,197324,66579008,Disorder of peritoneum,SNOMED,Condition
L430,950,45567357,L43.0,Hypertrophic lichen planus,ICD10 code,4195522,68266006,Hypertrophic lichen planus,SNOMED,Condition
T310,950,45604178,T31.0,Burns involving less than 10% of body surface,ICD10 code,133384,6341002,Burn any degree involving less than 10 percent of body surface,SNOMED,Condition
H180,946,45581605,H18.0,Corneal pigmentations and deposits,ICD10 code,4150165,267637004,Corneal pigmentations and deposits,SNOMED,Condition
I745,946,45586626,I74.5,Embolism and thrombosis of iliac artery,ICD10 code,444264,82453008,Thrombosis of iliac artery,SNOMED,Condition
M815,945,45553293,M81.5,Idiopathic osteoporosis,ICD10 code,81390,3345002,Idiopathic osteoporosis,SNOMED,Condition
I651,945,45562369,I65.1,Occlusion and stenosis of basilar artery,ICD10 code,437308,195180004,Basilar artery occlusion,SNOMED,Condition
Z966H,945,45600385,Z96.6,Presence of orthopedic joint implants,ICD10 code,4152780,284089007,Presence of orthopedic joint implant,SNOMED,Observation
I843,944,45586644,I84,Hemorrhoids,ICD10 Hierarchy,195562,70153002,Hemorrhoids,SNOMED,Condition
Z999,943,45566485,Z99.9,Dependence on unspecified enabling machine and device,ICD10 code,437758,105501005,Dependance on enabling machine or device,SNOMED,Condition
S924,942,45565199,S92.4,Fracture of great toe,ICD10 code,4016131,208719004,Fracture of great toe,SNOMED,Condition
E639,942,45591050,E63.9,"Nutritional deficiency, unspecified",ICD10 code,435227,70241007,Nutritional deficiency,SNOMED,Condition
H314,941,45538255,H31.4,Choroidal detachment,ICD10 code,437860,27871007,Choroidal detachment,SNOMED,Condition
K858,941,45557681,K85.8,Other acute pancreatitis,ICD10 code,199074,197456007,Acute pancreatitis,SNOMED,Condition
Z730,941,45576177,Z73.0,Burn-out,ICD10 code,4238682,58535001,Physical AND emotional exhaustion state,SNOMED,Condition
G001,941,45586268,G00.1,Pneumococcal meningitis,ICD10 code,432879,51169003,Pneumococcal meningitis,SNOMED,Condition
O720,941,45587386,O72.0,Third-stage hemorrhage,ICD10 code,197625,47236005,Third stage hemorrhage,SNOMED,Condition
K852,941,45601195,K85.2,Alcohol-induced acute pancreatitis,ICD10 code,4340493,235942001,Alcohol-induced acute pancreatitis,SNOMED,Condition
C444S,939,45532906,C44.4,Malignant neoplasm of skin of scalp and neck,ICD10 code,4092382,188102008,Malignant neoplasm of scalp and/or skin of neck,SNOMED,Condition
H310,939,45543017,H31.0,Chorioretinal scars,ICD10 code,433196,53854005,Chorioretinal scar,SNOMED,Condition
K261,939,45548151,K26.1,"Duodenal ulcer, acute with perforation",ICD10 code,4265479,61347001,Acute duodenal ulcer with perforation,SNOMED,Condition
K739,938,45552949,K73.9,"Chronic hepatitis, unspecified",ICD10 code,200763,76783007,Chronic hepatitis,SNOMED,Condition
I425,938,45586582,I42.5,Other restrictive cardiomyopathy,ICD10 code,4236332,90828009,Primary restrictive cardiomyopathy,SNOMED,Condition
S360,937,45554184,S36.0,Injury of spleen,ICD10 code,4053272,23589004,Injury of spleen,SNOMED,Condition
E236,935,45557119,E23.6,Other disorders of pituitary gland,ICD10 code,23986,399244003,Disorder of pituitary gland,SNOMED,Condition
L218B,934,45548192,L21.8,Other seborrheic dermatitis,ICD10 code,137053,50563003,Seborrheic dermatitis,SNOMED,Condition
I971,934,45591538,I97.1,Other functional disturbances following cardiac surgery,ICD10 code,318445,195130005,Post cardiac operation functional disturbance,SNOMED,Condition
H818,933,45552757,H81.8,Other disorders of vestibular function,ICD10 code,81303,20425006,Labyrinthine disorder,SNOMED,Condition
K709,933,45605953,K70.9,"Alcoholic liver disease, unspecified",ICD10 code,201612,41309000,Alcoholic liver damage,SNOMED,Condition
H922,932,45543147,H92.2,Otorrhagia,ICD10 code,4096343,26322001,Bleeding from ear,SNOMED,Condition
D861,932,45566716,D86.1,Sarcoidosis of lymph nodes,ICD10 code,4274184,64757003,Lymph node sarcoidosis,SNOMED,Condition
J051,931,45538474,J05.1,Acute epiglottitis,ICD10 code,4105773,29608009,Acute epiglottitis,SNOMED,Condition
T222,931,45541303,T22.2,"Burn of second degree of shoulder and upper limb, except wrist and hand",ICD10 code,441177,53080007,Second degree burn of upper limb,SNOMED,Condition
Q240,930,45572956,Q24.0,Dextrocardia,ICD10 code,4100815,27637000,Dextrocardia,SNOMED,Condition
C414,930,45585991,C41.4,"Malignant neoplasm of pelvic bones, sacrum and coccyx",ICD10 code,4089769,187952001,"Malignant neoplasm of pelvic bones, sacrum and coccyx",SNOMED,Condition
T842,930,45599795,T84.2,Mechanical complication of internal fixation device of other bones,ICD10 code,4345340,240275002,Bone fixation device failure,SNOMED,Condition
G111,930,45600769,G11.1,Early-onset cerebellar ataxia,ICD10 code,4047635,230227009,Early onset cerebellar ataxia,SNOMED,Condition
K570,929,45543321,K57.0,Diverticular disease of small intestine with perforation and abscess,ICD10 code,4092161,280993006,Perforated diverticulum of small intestine,SNOMED,Condition
G405,929,45562082,G40.5,Special epileptic syndromes,ICD10 code,380378,84757009,Epilepsy,SNOMED,Condition
J110,928,45533544,J11.0,"Influenza with pneumonia, virus not identified",ICD10 code,256723,195878008,Pneumonia and influenza,SNOMED,Condition
Z903,927,45547371,Z90.3,Acquired absence of part of stomach,ICD10 code,4230975,89296000,Acquired deformity of the abdomen,SNOMED,Condition
Q780,927,45597155,Q78.0,Osteogenesis imperfecta,ICD10 code,78257,78314001,Osteogenesis imperfecta,SNOMED,Condition
D109,925,45571595,D10.9,"Benign neoplasm of pharynx, unspecified",ICD10 code,30356,92293007,Benign neoplasm of pharynx,SNOMED,Condition
O141B,924,45587283,O14.1,Severe pre-eclampsia,ICD10 code,433536,46764007,Severe pre-eclampsia,SNOMED,Condition
M17,923,45601350,M17,Gonarthrosis [arthrosis of knee],ICD10 Hierarchy,4079750,239873007,Osteoarthritis of knee,SNOMED,Condition
G231,922,45552517,G23.1,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],ICD10 code,4103534,28978003,Progressive supranuclear ophthalmoplegia,SNOMED,Condition
F121,921,45557163,F12.1,"Mental and behavioral disorders due to use of cannabinoids, harmful use",ICD10 code,434327,37344009,Cannabis abuse,SNOMED,Condition
I669,920,45596218,I66.9,Occlusion and stenosis of unspecified cerebral artery,ICD10 code,372924,20059004,Cerebral artery occlusion,SNOMED,Condition
N882,919,45572732,N88.2,Stricture and stenosis of cervix uteri,ICD10 code,441077,83536006,Stenosis of cervix,SNOMED,Condition
D012,918,45566654,D01.2,Carcinoma in situ of rectum,ICD10 code,75210,92696009,Carcinoma in situ of rectum,SNOMED,Condition
M726,917,45572538,M72.6,Necrotizing fasciitis,ICD10 code,133566,52486002,Necrotizing fasciitis,SNOMED,Condition
N394W,917,45577525,N39.4,Other specified urinary incontinence,ICD10 code,197672,165232002,Urinary incontinence,SNOMED,Condition
N029,917,45601714,N02.9,"Recurrent and persistent hematuria, unspecified",ICD10 code,,,,,
Z312C,914,45581020,Z31.2,In vitro fertilization,ICD10 code,4199599,52637005,In vitro fertilization,SNOMED,Procedure
C830B,912,45590939,,Small cell (diffuse) non-Hodgkin's lymphoma,,4002356,,"Diffuse non-Hodgkin's lymphoma, small cell",SNOMED,
S931,912,45536399,S93.1,Dislocation of toe(s),ICD10 code,4138150,263030002,Dislocation of toe joint,SNOMED,Condition
E033,912,45586130,E03.3,Postinfectious hypothyroidism,ICD10 code,4030049,237528002,Post-infectious hypothyroidism,SNOMED,Condition
H348X,911,45547863,H34.8,Other retinal vascular occlusions,ICD10 code,440392,73757007,Retinal vascular occlusion,SNOMED,Condition
N763,911,45558168,N76.3,Subacute and chronic vulvitis,ICD10 code,4056905,198220008,Subacute and chronic vulvitis,SNOMED,Condition
G621,911,45576603,G62.1,Alcoholic polyneuropathy,ICD10 code,378421,7916009,Alcoholic polyneuropathy,SNOMED,Condition
C672,911,45586020,C67.2,Malignant neoplasm of lateral wall of bladder,ICD10 code,73153,188241004,Malignant neoplasm of lateral wall of urinary bladder,SNOMED,Condition
O756X,909,45582575,O75.6,Delayed delivery after spontaneous or unspecified rupture of membranes,ICD10 code,4224704,41957003,Ruptured membranes,SNOMED,Condition
L433B,909,45586770,L43.3,Subacute (active) lichen planus,ICD10 code,4063438,201002003,Subacute active lichen planus,SNOMED,Condition
J931,909,45596286,J93.1,Other spontaneous pneumothorax,ICD10 code,255302,80423007,Spontaneous pneumothorax,SNOMED,Condition
O020,906,45606529,O02.0,Blighted ovum and nonhydatidiform mole,ICD10 code,4117876,286996009,Blighted ovum and/or carneous mole,SNOMED,Condition
C830D,905,45590939,,Small cell (diffuse) non-Hodgkin's lymphoma,,4002356,,"Diffuse non-Hodgkin's lymphoma, small cell",SNOMED,
R063,905,45544129,R06.3,Periodic breathing,ICD10 code,315531,271824009,Respiration intermittent,SNOMED,Condition
M495,904,45543604,M49.5,Collapsed vertebra in diseases classified elsewhere,ICD10 code,4222001,84138006,Collapse of vertebra,SNOMED,Condition
L309A,904,45572271,L30.9,"Dermatitis, unspecified",ICD10 code,,,,,
H40,903,45547879,H40,Glaucoma,ICD10 Hierarchy,437541,23986001,Glaucoma,SNOMED,Condition
S020,902,45549029,S02.0,Fracture of vault of skull,ICD10 code,4168152,48466003,Fracture of vault of skull,SNOMED,Condition
M928,900,45534090,M92.8,Other specified juvenile osteochondrosis,ICD10 code,441103,19579005,Juvenile osteochondritis,SNOMED,Condition
E279,900,45595808,E27.9,"Disorder of adrenal gland, unspecified",ICD10 code,193165,30171000,Disorder of adrenal gland,SNOMED,Condition
L899F,899,45577066,L89.9,"Decubitus ulcer and pressure area, unspecified",ICD10 code,135333,399912005,Pressure ulcer,SNOMED,Condition
B300,898,45556936,B30.0,Keratoconjunctivitis due to adenovirus,ICD10 code,4089879,186678004,Keratoconjunctivitis due to adenovirus,SNOMED,Condition
D686B,898,45600612,D68.6,Other Thrombophilia,ICD10 code,432585,64779008,Blood coagulation disorder,SNOMED,Condition
M765,898,45601540,M76.5,Patellar tendinitis,ICD10 code,433000,37785001,Patellar tendonitis,SNOMED,Condition
I600,897,45533458,I60.0,Subarachnoid hemorrhage from carotid siphon and bifurcation,ICD10 code,4108952,195155004,Subarachnoid hemorrhage from carotid siphon and bifurcation,SNOMED,Condition
S630,897,45588638,S63.0,Dislocation of wrist,ICD10 code,4054058,125618007,Traumatic dislocation of joint of wrist,SNOMED,Condition
G458,896,45576587,G45.8,Other transient cerebral ischemic attacks and related syndromes,ICD10 code,373503,266257000,Transient cerebral ischemia,SNOMED,Condition
C830,895,45590939,,Small cell (diffuse) non-Hodgkin's lymphoma,,4002356,,"Diffuse non-Hodgkin's lymphoma, small cell",SNOMED,
N118,895,45543857,N11.8,Other chronic tubulo-interstitial nephritis,ICD10 code,4264718,60926001,Chronic interstitial nephritis,SNOMED,Condition
O009,895,45572743,O00.9,"Ectopic pregnancy, unspecified",ICD10 code,437611,34801009,Ectopic pregnancy,SNOMED,Condition
A630X,895,45585929,A63.0,Anogenital (venereal) warts,ICD10 code,198075,240542006,Condyloma acuminatum,SNOMED,Condition
K450,894,45572210,K45.0,"Other specified abdominal hernia with obstruction, without gangrene",ICD10 code,199063,8377001,"Hernia, with obstruction",SNOMED,Condition
S273,893,45544450,S27.3,Other injuries of lung,ICD10 code,4201174,316358009,Injury of lung,SNOMED,Condition
D399,893,45605359,D39.9,"Neoplasm of uncertain or unknown behavior of female genital organ, unspecified",ICD10 code,193437,94837001,Neoplasm of uncertain behavior of female genital organ,SNOMED,Condition
A414,892,45552178,A41.4,Septicemia due to anaerobes,ICD10 code,40486631,447843005,Sepsis due to anaerobic bacteria,SNOMED,Condition
N358,892,45582401,N35.8,Other urethral stricture,ICD10 code,195590,76618002,Urethral stricture,SNOMED,Condition
J321,891,45552886,J32.1,Chronic frontal sinusitis,ICD10 code,139841,60130002,Chronic frontal sinusitis,SNOMED,Condition
R498F,891,45553740,R49.8,Other and unspecified voice disturbances,ICD10 code,432730,47004009,Difficulty speaking,SNOMED,Condition
M328,891,45572445,M32.8,Other forms of systemic lupus erythematosus,ICD10 code,257628,55464009,Systemic lupus erythematosus,SNOMED,Condition
O800,891,45577661,O80.0,Spontaneous vertex delivery,ICD10 code,4205240,309469004,Spontaneous vertex delivery,SNOMED,Condition
S007,890,45563348,S00.7,Multiple superficial injuries of head,ICD10 code,4050699,211024005,Multiple superficial injuries of head,SNOMED,Condition
R041,889,45602000,R04.1,Hemorrhage from throat,ICD10 code,4208719,324618004,Pharyngeal hemorrhage,SNOMED,Condition
R760,886,45563322,,Raised antibody titer,,40480500,,High antibody titer,SNOMED,
K868,886,45586744,K86.8,Other specified diseases of pancreas,ICD10 code,192963,3855007,Disorder of pancreas,SNOMED,Condition
I675,886,45591480,I67.5,Moyamoya disease,ICD10 code,378774,69116000,Moyamoya disease,SNOMED,Condition
K075,886,45596296,K07.5,Dentofacial functional abnormalities,ICD10 code,439052,56405002,Dentofacial functional anomaly,SNOMED,Condition
Z245,885,45590711,Z24.5,Need for immunization against rubella alone,ICD10 code,4015724,170536002,Vaccination required,SNOMED,Observation
M621F,884,45557924,M62.1,Other rupture of muscle (nontraumatic),ICD10 code,72413,29191005,Nontraumatic rupture of muscle,SNOMED,Condition
E102B,884,45586137,E10.2,Insulin-dependent diabetes mellitus with renal complications,ICD10 code,200687,421893009,Renal disorder associated with type 1 diabetes mellitus,SNOMED,Condition
E275,883,45542749,E27.5,Adrenomedullary hyperfunction,ICD10 code,440972,111565003,Medulloadrenal hyperfunction,SNOMED,Condition
K638,881,45596341,K63.8,Other specified diseases of intestine,ICD10 code,201618,85919009,Disorder of intestine,SNOMED,Condition
C718,880,45532931,C71.8,Malignant neoplasm overlapping brain site,ICD10 code,372849,109911004,Overlapping malignant neoplasm of brain and other parts of the central nervous system,SNOMED,Condition
M245D,880,45533800,M24.5,Contracture of joint,ICD10 code,73290,7890003,Contracture of joint,SNOMED,Condition
G820,880,45576610,G82.0,Flaccid paraplegia,ICD10 code,4101738,192966000,Flaccid paraplegia,SNOMED,Condition
I738,880,45591513,I73.8,Other specified peripheral vascular diseases,ICD10 code,321052,400047006,Peripheral vascular disease,SNOMED,Condition
R478,879,45592422,R47.8,Other and unspecified speech disturbances,ICD10 code,435642,29164008,Disturbance in speech,SNOMED,Condition
L904,877,45533661,L90.4,Acrodermatitis chronica atrophicans,ICD10 code,4183170,4340003,Acrodermatitis atrophicans chronica,SNOMED,Condition
M310,877,45543565,M31.0,Hypersensitivity angiitis,ICD10 code,196431,60555002,Hypersensitivity angiitis,SNOMED,Condition
F300,877,45547702,F30.0,Hypomania,ICD10 code,4333678,231496004,Hypomania,SNOMED,Condition
S092,877,45587636,S09.2,Traumatic rupture of ear drum,ICD10 code,4145094,307497002,Traumatic tympanic membrane perforation,SNOMED,Condition
E160,876,45571666,E16.0,Drug-induced hypoglycemia without coma,ICD10 code,4096804,190448007,Drug-induced hypoglycemia without coma,SNOMED,Condition
L100,875,45533632,L10.0,Pemphigus vulgaris,ICD10 code,4170723,49420001,Pemphigus vulgaris,SNOMED,Condition
Z094A,875,45561611,Z09.4,Follow-up examination after treatment of fracture,ICD10 code,4307024,390906007,Follow-up encounter,SNOMED,Observation
M128,875,45572366,M12.8,"Other specific arthropathies, not elsewhere classified",ICD10 code,73553,399269003,Arthropathy,SNOMED,Condition
T009,875,45575010,T00.9,"Multiple superficial injuries, unspecified",ICD10 code,4053584,125587004,Superficial injury,SNOMED,Condition
Q256,874,45553669,Q25.6,Stenosis of pulmonary artery,ICD10 code,4317288,95441000,Pulmonary artery stenosis,SNOMED,Condition
D407,873,45532983,D40.7,Neoplasm of uncertain or unknown behavior of other male genital organs,ICD10 code,4102114,300858004,Mass of male genital structure,SNOMED,Condition
T749,873,45585199,T74.9,"Maltreatment syndrome, unspecified",ICD10 code,4020158,213015009,Maltreatment syndromes,SNOMED,Condition
T886,873,45594978,T88.6,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered,ICD10 code,4302371,419042001,"Anaphylactic shock, due to adverse effect of correct medicinal substance properly administered",SNOMED,Condition
E103B,872,45552380,E10.3,Insulin-dependent diabetes mellitus with ophthalmic complications,ICD10 code,373999,421165007,Diabetic oculopathy associated with type 1 diabetes mellitus,SNOMED,Condition
K900B,872,45586745,K90.0,Celiac disease,ICD10 code,194992,396331005,Celiac disease,SNOMED,Condition
C050,872,45605258,C05.0,Malignant neoplasm of hard palate,ICD10 code,4180787,363387004,Malignant tumor of hard palate,SNOMED,Condition
D449,871,45581317,D44.9,"Neoplasm of uncertain or unknown behavior of endocrine gland, unspecified",ICD10 code,140357,94820008,Neoplasm of uncertain behavior of endocrine gland,SNOMED,Condition
B968W,871,45590871,B96.8,Other specified bacterial agents as the cause of diseases classified to other chapters,ICD10 code,432545,87628006,Bacterial infectious disease,SNOMED,Condition
N839,871,45596886,N83.9,"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified",ICD10 code,193255,266591002,"Noninflammatory disorders of the ovary, fallopian tube and broad ligament",SNOMED,Condition
C790,870,45547523,C79.0,Secondary malignant neoplasm of kidney and renal pelvis,ICD10 code,196053,94360002,Secondary malignant neoplasm of kidney,SNOMED,Condition
M840F,870,45577379,M84.0,Malunion of fracture,ICD10 code,75634,425852005,Fracture malunion,SNOMED,Condition
T856,870,45585319,T85.6,"Mechanical complication of other specified internal prosthetic devices, implants and grafts",ICD10 code,435726,111746009,Mechanical complication of device,SNOMED,Condition
K720,869,45557674,K72.0,Acute and subacute hepatic failure,ICD10 code,4245975,59927004,Hepatic failure,SNOMED,Condition
F219,869,45586232,F21,Schizotypal disorder,ICD10 code,434010,31027006,Schizotypal personality disorder,SNOMED,Condition
M625,869,45606275,M62.5,"Muscle wasting and atrophy, not elsewhere classified",ICD10 code,78236,88092000,Muscle atrophy,SNOMED,Condition
N350,867,45548660,N35.0,Post-traumatic urethral stricture,ICD10 code,195589,86347007,Traumatic urethral stricture,SNOMED,Condition
K558,867,45557659,K55.8,Other vascular disorders of intestine,ICD10 code,4134603,128321003,Vascular disorder of intestine,SNOMED,Condition
Z855B,866,45556863,Z85.5,Personal history of malignant neoplasm of urinary tract,ICD10 code,4214956,417662000,History of clinical finding in subject,SNOMED,Observation
G628,866,45595957,G62.8,Other specified polyneuropathies,ICD10 code,378140,267601009,Inflammatory and toxic neuropathy,SNOMED,Condition
H300,865,45567021,H30.0,Focal chorioretinal inflammation,ICD10 code,437850,15847003,Focal chorioretinitis,SNOMED,Condition
Q600,865,45606749,Q60.0,"Renal agenesis, unilateral",ICD10 code,4003487,204942005,Renal agenesis,SNOMED,Condition
C009,864,45537786,C00.9,"Malignant neoplasm of lip, unspecified",ICD10 code,4180779,363348004,Malignant tumor of lip,SNOMED,Condition
T460,864,45575328,T46.0,Poisoning by cardiac-stimulant glycosides and drugs of similar action,ICD10 code,4178256,297060000,Cardiac inotropic agent overdose,SNOMED,Condition
Z548,864,45590741,Z54.8,Convalescence following other treatment,ICD10 code,4079935,183371006,Medical illness convalescence,SNOMED,Condition
I444,864,45601035,I44.4,Left anterior fascicular block,ICD10 code,4295336,37760005,Left anterior fascicular block,SNOMED,Condition
R203,863,45587503,R20.3,Hyperesthesia,ICD10 code,4031840,14151009,Hyperesthesia,SNOMED,Condition
K611,863,45591601,K61.1,Rectal abscess,ICD10 code,443327,197166005,Rectal abscess,SNOMED,Condition
H722,863,45596166,H72.2,Other marginal perforations of tympanic membrane,ICD10 code,380421,39895008,Marginal perforation of tympanic membrane,SNOMED,Condition
R943A,861,45539372,,Abnormal results of cardiovascular function studies,,137989,,Abnormal results of cardiovascular function studies,SNOMED,
S831,861,45574735,S83.1,Dislocation of knee,ICD10 code,4238518,58320001,Traumatic dislocation of knee joint,SNOMED,Condition
K046,860,45576969,K04.6,Periapical abscess with sinus,ICD10 code,133803,74598008,Periapical abscess with sinus tract,SNOMED,Condition
G129,860,45600772,G12.9,"Spinal muscular atrophy, unspecified",ICD10 code,372605,5262007,Spinal muscular atrophy,SNOMED,Condition
M233M,858,45586923,M23.3,Other meniscus derangements,ICD10 code,75346,111224002,Derangement of meniscus,SNOMED,Condition
H313,858,45591310,H31.3,Choroidal hemorrhage and rupture,ICD10 code,4104217,193474002,Choroidal hemorrhage and rupture,SNOMED,Condition
S534,857,45549825,S53.4,Sprain and strain of elbow,ICD10 code,4138284,263128001,Sprain of ligament of elbow,SNOMED,Condition
B378W,856,45566546,B37.8,Candidiasis of other sites,ICD10 code,433968,78048006,Candidiasis,SNOMED,Condition
K700,856,45567323,K70.0,Alcoholic fatty liver,ICD10 code,193256,50325005,Alcoholic fatty liver,SNOMED,Condition
M142,856,45577156,M14.2,Diabetic arthropathy,ICD10 code,4114427,201724008,Diabetic neuropathic arthropathy,SNOMED,Condition
H600,855,45543098,H60.0,Abscess of external ear,ICD10 code,4339469,232212002,Abscess of external ear,SNOMED,Condition
I311,855,45543169,I31.1,Chronic constrictive pericarditis,ICD10 code,4203625,52535005,Chronic constrictive pericarditis,SNOMED,Condition
S140,855,45568310,S14.0,Concussion and edema of cervical spinal cord,ICD10 code,4054876,212356007,Concussion and edema of cervical spinal cord,SNOMED,Condition
B499,855,45600461,B49,Unspecified mycosis,ICD10 code,433701,3218000,Mycosis,SNOMED,Condition
A319,854,45542524,A31.9,"Mycobacterial infection, unspecified",ICD10 code,440631,88415009,Mycobacteriosis,SNOMED,Condition
J809,854,45552897,J80,Adult respiratory distress syndrome,ICD10 code,4195694,67782005,Adult respiratory distress syndrome,SNOMED,Condition
G109,854,45562075,G10,Huntington's disease,ICD10 code,374341,58756001,Huntington's chorea,SNOMED,Condition
D045,854,45576373,D04.5,Carcinoma in situ of skin of trunk,ICD10 code,444411,92745002,Carcinoma in situ of skin of trunk,SNOMED,Condition
I451,854,45586584,I45.1,Other and unspecified right bundle-branch block,ICD10 code,314059,59118001,Right bundle branch block,SNOMED,Condition
Q268,854,45597114,Q26.8,Other congenital malformations of great veins,ICD10 code,314147,204451006,Anomalies of great veins,SNOMED,Condition
M907F,853,45539003,M90.7,Fracture of bone in neoplastic disease,ICD10 code,4067766,203449003,Fracture of bone in neoplastic disease,SNOMED,Condition
J451A,853,45557625,J45.1,Nonallergic asthma,ICD10 code,4145497,266361008,Intrinsic asthma,SNOMED,Condition
I770,852,45548078,I77.0,"Arteriovenous fistula, acquired",ICD10 code,4043693,129214009,Acquired arteriovenous fistula,SNOMED,Observation
M239,852,45567507,M23.9,"Internal derangement of knee, unspecified",ICD10 code,76786,63643000,Derangement of knee,SNOMED,Condition
413XD,852,,,,,,,,,
N508,851,45582410,N50.8,Other specified disorders of male genital organs,ICD10 code,196738,64557000,Disorder of male genital organ,SNOMED,Condition
G589,848,45557250,G58.9,"Mononeuropathy, unspecified",ICD10 code,4134455,128189008,Mononeuropathy,SNOMED,Condition
I25P,848,45581765,I25,Chronic ischemic heart disease,ICD10 Hierarchy,315286,413838009,Chronic ischemic heart disease,SNOMED,Condition
E299,847,45552393,E29.9,"Testicular dysfunction, unspecified",ICD10 code,26935,73820008,Disorder of endocrine testis,SNOMED,Condition
S621,847,45554750,S62.1,Fracture of other carpal bone(s),ICD10 code,4218884,82065001,Fracture of carpal bone,SNOMED,Condition
L408,844,45567355,L40.8,Other psoriasis,ICD10 code,140168,9014002,Psoriasis,SNOMED,Condition
G039,844,45571785,G03.9,"Meningitis, unspecified",ICD10 code,435785,7180009,Meningitis,SNOMED,Condition
Z429,843,45566429,Z42.9,"Follow-up care involving plastic surgery, unspecified",ICD10 code,4079646,183644000,Surgical follow-up,SNOMED,Observation
C500,843,45566598,C50.0,Malignant neoplasm of nipple and areola,ICD10 code,81251,126926005,Neoplasm of breast,SNOMED,Condition
M489,843,45591862,M48.9,"Spondylopathy, unspecified",ICD10 code,4330086,430886005,Disorder of vertebra,SNOMED,Condition
I371,842,45576871,I37.1,Pulmonary valve insufficiency,ICD10 code,4237202,91434003,Pulmonic valve regurgitation,SNOMED,Condition
F639,841,45533118,F63.9,"Habit and impulse disorder, unspecified",ICD10 code,433752,66347000,Impulse control disorder,SNOMED,Condition
M339,841,45553169,M33.9,"Dermatopolymyositis, unspecified",ICD10 code,80182,396230008,Dermatomyositis,SNOMED,Condition
M843H,841,45596702,M84.3,"Stress fracture, not elsewhere classified",ICD10 code,40441585,240197007,Stress fracture,SNOMED,Condition
I731,840,45543216,I73.1,Thromboangiitis obliterans [Buerger],ICD10 code,312939,52403007,Thromboangiitis obliterans,SNOMED,Condition
UA5600,840,,,,,,,,,
I659,839,45586599,I65.9,Occlusion and stenosis of unspecified precerebral artery,ICD10 code,374371,1055001,Stenosis of precerebral artery,SNOMED,Condition
K910,838,45538556,K91.0,Vomiting following gastrointestinal surgery,ICD10 code,22666,197130009,Vomiting after gastrointestinal tract surgery,SNOMED,Condition
L010X,838,45572243,L01.0,Impetigo [any organism] [any site],ICD10 code,140480,48277006,Impetigo,SNOMED,Condition
H031,838,45600834,H03.1,Involvement of eyelid in other infectious diseases classified elsewhere,ICD10 code,4291304,402700001,Dermatosis of eyelid,SNOMED,Condition
M532,838,45601476,M53.2,Spinal instabilities,ICD10 code,4345332,240220009,Spinal instability,SNOMED,Condition
R761,837,45606821,,Abnormal reaction to tuberculin test,,4151893,,Mantoux: positive,SNOMED,
M991K,837,45534107,M99.1,Subluxation complex (vertebral),ICD10 code,4068848,203709007,Subluxation complex,SNOMED,Condition
Z752,837,45571387,Z75.2,Other waiting period for investigation and treatment,ICD10 code,4145781,266756008,Medical care unavailable,SNOMED,Observation
