source_code,intermediate_code,intermediate_concept_id,intermediate_name,intermediate_vocabulary,target_concept_id,target_name,target_vocabulary
H601,H60.1,45547946,Cellulitis of external ear,ICD10,4319016,Cellulitis of external ear,SNOMED
M860H,M86.0,45553358,Acute hematogenous osteomyelitis,ICD10,4001819,Acute hematogenous osteomyelitis,SNOMED
N088,N08.8,45567823,Glomerular disorders in other diseases classified elsewhere,ICD10,4059452,Glomerular disease,SNOMED
H328,H32.8,45596062,Other chorioretinal disorders in diseases classified elsewhere,ICD10,4116208,Choroidal and/or chorioretinal disorder,SNOMED
M028,M02.8,45596422,Other reactive arthropathies,ICD10,4035610,Post-infective arthritis,SNOMED
K072,K07.2,45533568,Anomalies of dental arch relationship,ICD10,4084644,Anomaly of dental arch,SNOMED
R029X,R02,45534421,"Gangrene, not elsewhere classified",ICD10,439928,Gangrenous disorder,SNOMED
K529W,K52.9,45572215,"Noninfective gastroenteritis and colitis, unspecified",ICD10,4324838,Noninfectious enteritis,SNOMED
L138A,L13.8,45577029,Other specified bullous disorders,ICD10,137944,Bullous dermatosis,SNOMED
M211G,M21.1,45548347,"Varus deformity, not elsewhere classified",ICD10,133857,Acquired deformity of limb,SNOMED
T851,T85.1,45551536,Mechanical complication of implanted electronic stimulator of nervous system,ICD10,435726,Mechanical complication of device,SNOMED
H319,H31.9,45552658,"Disorder of choroid, unspecified",ICD10,432620,Disorder of choroid of eye,SNOMED
C929,C92.9,45561878,"Myeloid leukemia, unspecified",ICD10,140666,Myeloid leukemia,SNOMED
J670,J67.0,45576955,Farmer's lung,ICD10,435298,Farmers' lung,SNOMED
O142,O14,45592189,Gestational [pregnancy-induced] hypertension with significant proteinuria,ICD10 Hierarchy,439393,Pre-eclampsia,SNOMED
K316,K31.6,45596318,Fistula of stomach and duodenum,ICD10,4066036,Gastroduodenal fistula,SNOMED
Q030,Q03.0,45597102,Malformations of aqueduct of Sylvius,ICD10,4103313,Aqueduct of Sylvius anomaly,SNOMED
UA5100,,,,,,,
S909,S90.9,45608606,"Superficial injury of ankle and foot, unspecified",ICD10,4164348,Superficial injury of foot,SNOMED
K460,K46.0,45562488,"Unspecified abdominal hernia with obstruction, without gangrene",ICD10,199860,Hernia of abdominal cavity,SNOMED
K871,K87.1,45562516,Disorders of pancreas in diseases classified elsewhere,ICD10,192963,Disorder of pancreas,SNOMED
L511,L51.1,45581946,Bullous erythema multiforme,ICD10,141651,Stevens-Johnson syndrome,SNOMED
D486B,D48.6,45605370,Neoplasm of uncertain or unknown behavior of breast,ICD10,72578,Neoplasm of uncertain behavior of breast,SNOMED
E838,E83.8,45586175,Other disorders of mineral metabolism,ICD10,438721,Disorder of mineral metabolism,SNOMED
C442B,C44.2,45600492,Malignant neoplasm of skin of ear and external auricular canal,ICD10,136916,Primary malignant neoplasm of skin of external auditory canal,SNOMED
Z111,Z11.1,45609908,Special screening examination for respiratory tuberculosis,ICD10,4062637,Tuberculosis screening,SNOMED
L948,L94.8,45533662,Other specified localized connective tissue disorders,ICD10,253549,Disorder of connective tissue,SNOMED
R062,R06.2,45548946,Wheezing,ICD10,314754,Wheezing,SNOMED
Z634,Z63.4,45552094,Disappearance and death of family member,ICD10,4094126,Family problems,SNOMED
D539,D53.9,45557084,"Nutritional anemia, unspecified",ICD10,434622,Deficiency anemias,SNOMED
O212,O21.2,45567891,Late vomiting of pregnancy,ICD10,439880,Late vomiting of pregnancy,SNOMED
J172,J17.2,45572163,Pneumonia in mycoses,ICD10,4049965,Fungal pneumonia,SNOMED
Z038F,Z03.8,45585798,Observation for other suspected diseases and conditions,ICD10,4064522,Medical examination for suspected condition,SNOMED
E612,E61.2,45586162,Magnesium deficiency,ICD10,4029273,Magnesium deficiency,SNOMED
F829,F82,45605516,Specific developmental disorder of motor function,ICD10,4148091,Developmental disorder of motor function,SNOMED
G548,G54.8,45557242,Other nerve root and plexus disorders,ICD10,43531045,Lesion of nerve root and/or plexus,SNOMED
S6240,S62.4,45607905,Multiple fractures of metacarpal bones,ICD10,4243291,Fracture of multiple sites of metacarpus,SNOMED
K273,K27.3,45538515,"Peptic ulcer, acute without hemorrhage or perforation",ICD10,198187,"Acute peptic ulcer without hemorrhage, without perforation AND without obstruction",SNOMED
L580,L58.0,45552992,Acute radiodermatitis,ICD10,4329565,Early radiation dermatitis,SNOMED
C845D,C84.5,45561857,Other and unspecified T-cell lymphomas,ICD10,4212994,"Extranodal NK/T-cell lymphoma, nasal type",SNOMED
O648,O64.8,45563163,Obstructed labor due to other malposition and malpresentation,ICD10,194100,Obstructed labor due to fetal malposition,SNOMED
K131,K13.1,45567293,Cheek and lip biting,ICD10,4242912,Cheek biting,SNOMED
H187,H18.7,45581613,Other corneal deformities,ICD10,374349,Corneal deformity,SNOMED
T189,T18.9,45536487,"Foreign body in alimentary tract, part unspecified",ICD10,201728,Foreign body in digestive tract,SNOMED
L811,L81.1,45567368,Chloasma,ICD10,4264234,Chloasma,SNOMED
C50,C50,45571518,Malignant neoplasm of breast,ICD10 Hierarchy,4162253,Primary malignant neoplasm of breast,SNOMED
Z602,Z60.2,45576166,Living alone,ICD10,4023168,Lives alone,SNOMED
C498,C49.8,45581220,Malignant neoplasm overlapping connective and soft tissue sites,ICD10,378081,Overlapping malignant neoplasm of soft tissues,SNOMED
M713,M71.3,45606309,Other bursal cyst,ICD10,72712,Synovial cyst,SNOMED
701A,,,,,,,
S541,S54.1,45607684,Injury of median nerve at forearm level,ICD10,433642,Injury of median nerve,SNOMED
T179,T17.9,45608765,"Foreign body in respiratory tract, part unspecified",ICD10,4094822,Foreign body in respiratory tract,SNOMED
Z27P,Z27,45756048,Need for immunization against combinations of infectious diseases,ICD10 Hierarchy,4015724,Vaccination required,SNOMED
780E,,,,,,,
O983,O98.3,45534317,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, childbirth and the puerperium",ICD10,440158,"Venereal disease in mother complicating pregnancy, childbirth AND/OR puerperium",SNOMED
F989,F98.9,45547725,Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence,ICD10,433758,Childhood emotional disorder,SNOMED
Q667,Q66.7,45548919,Pes cavus,ICD10,436799,Congenital pes cavus,SNOMED
H219,H21.9,45576698,"Disorder of iris and ciliary body, unspecified",ICD10,442770,Disorder of ciliary body,SNOMED
M420,M42.0,45577257,Juvenile osteochondrosis of spine,ICD10,433565,Juvenile osteochondrosis of spine,SNOMED
D444,D44.4,45581316,Neoplasm of uncertain or unknown behavior of craniopharyngeal duct,ICD10,442167,Neoplasm of uncertain behavior of craniopharyngeal duct,SNOMED
M791C,M79.1,45587062,Myalgia,ICD10,442752,Muscle pain,SNOMED
D224,D22.4,45590986,Melanocytic nevi of scalp and neck,ICD10,4031108,Melanocytic nevus of scalp,SNOMED
C442D,C44.2,45600492,Malignant neoplasm of skin of ear and external auricular canal,ICD10,136916,Primary malignant neoplasm of skin of external auditory canal,SNOMED
K137W,K13.7,45548147,Other and unspecified lesions of oral mucosa,ICD10,139057,Disorder of oral soft tissues,SNOMED
M217F,M21.7,45548352,Unequal limb length (acquired),ICD10,45757656,Acquired unequal limb length,SNOMED
D369,D36.9,45581308,Benign neoplasm of unspecified site,ICD10,435506,Benign neoplastic disease,SNOMED
F447,F44.7,45591141,Mixed dissociative [conversion] disorders,ICD10,434889,Dissociative disorder,SNOMED
I228,I22.8,45601022,Subsequent myocardial infarction of other sites,ICD10,4108217,Subsequent myocardial infarction,SNOMED
S960,S96.0,45603980,Injury of muscle and tendon of long flexor muscle of toe at ankle and foot level,ICD10,4062391,Injury of muscle and tendon of long flexor muscle of toe at ankle and foot level,SNOMED
UA4651,,,,,,,
M665,M66.5,45557949,Spontaneous rupture of unspecified tendon,ICD10,439907,Non-traumatic tendon rupture,SNOMED
R048,R04.8,45553713,Hemorrhage from other sites in respiratory passages,ICD10,4317284,Respiratory tract hemorrhage,SNOMED
R162,R16.2,45558458,"Hepatomegaly with splenomegaly, not elsewhere classified",ICD10,197676,Large liver,SNOMED
L448A,L44.8,45562539,Other specified papulosquamous disorders,ICD10,4330878,Papulosquamous dermatosis,SNOMED
S8270,S82.7,45574690,Multiple fractures of lower leg,ICD10,4015743,Multiple fractures of lower leg,SNOMED
M674L,M67.4,45582222,Ganglion,ICD10,40481632,Ganglion cyst,SNOMED
D413,D41.3,45547602,Neoplasm of uncertain or unknown behavior of urethra,ICD10,4316746,Neoplasm of uncertain behavior of urethra,SNOMED
L01CD01,L01,45548179,Impetigo,ICD10 Hierarchy,140480,Impetigo,SNOMED
C058,C05.8,45556960,Malignant neoplasm overlapping palate site,ICD10,134290,Primary malignant neoplasm of palate,SNOMED
K767,K76.7,45557677,Hepatorenal syndrome,ICD10,196455,Hepatorenal syndrome,SNOMED
T792,T79.2,45561008,Traumatic secondary and recurrent hemorrhage,ICD10,4054952,Secondary and recurrent hemorrhage,SNOMED
G049A,G04.9,45562073,"Encephalitis, myelitis and encephalomyelitis, unspecified",ICD10,4147498,"Encephalitis, myelitis and encephalomyelitis",SNOMED
Z228,Z22.8,45576142,Carrier of other infectious diseases,ICD10,4280828,Infectious disease carrier,SNOMED
B182X,B18.2,45590846,Chronic viral hepatitis C,ICD10,198964,Chronic hepatitis C,SNOMED
N413,N41.3,45596866,Prostatocystitis,ICD10,198807,Prostatocystitis,SNOMED
G936,G93.6,45605575,Cerebral edema,ICD10,376690,Cerebral edema,SNOMED
N842,N84.2,45534143,Polyp of vagina,ICD10,198198,Polyp of vagina,SNOMED
N393A,N39.3,45539046,Stress incontinence,ICD10,195007,Female stress incontinence,SNOMED
J450W,J45.0,45557624,Predominantly allergic asthma,ICD10,4191479,Allergic asthma,SNOMED
S699,S69.9,45559703,Unspecified injury of wrist and hand,ICD10,4130851,Injury of upper extremity,SNOMED
M861D,M86.1,45577440,Other acute osteomyelitis,ICD10,133002,Acute osteomyelitis,SNOMED
H525,H52.5,45586508,Disorders of accommodation,ICD10,4182553,Disorder of accommodation,SNOMED
A180,A18.0,45605194,Tuberculosis of bones and joints,ICD10,438673,Tuberculosis of bones AND/OR joints,SNOMED
M540,M54.0,45538787,Panniculitis affecting regions of neck and back,ICD10,432719,Panniculitis,SNOMED
L819,L81.9,45543384,"Disorder of pigmentation, unspecified",ICD10,4185471,Disorder of pigmentation,SNOMED
L01XA02,L01,45548179,Impetigo,ICD10 Hierarchy,140480,Impetigo,SNOMED
I083,I08.3,45552779,"Combined disorders of mitral, aortic and tricuspid valves",ICD10,4108235,"Combined disorders of mitral, aortic and tricuspid valves",SNOMED
E208,E20.8,45557118,Other hypoparathyroidism,ICD10,140362,Hypoparathyroidism,SNOMED
R092,R09.2,45558451,Respiratory arrest,ICD10,317109,Respiratory arrest,SNOMED
R490C,R49.0,45558473,Dysphonia,ICD10,432730,Difficulty speaking,SNOMED
S469,S46.9,45559103,Injury of unspecified muscle and tendon at shoulder and upper arm level,ICD10,444190,Injury of upper arm,SNOMED
J700,J70.0,45562464,Acute pulmonary manifestations due to radiation,ICD10,260434,Acute radiation pneumonitis,SNOMED
C020,C02.0,45576295,Malignant neoplasm of dorsal surface of tongue,ICD10,434587,Primary malignant neoplasm of dorsal surface of tongue,SNOMED
T952,T95.2,45580483,"Sequelae of burn, corrosion and frostbite of upper limb",ICD10,4111209,"Sequelae of burn, corrosion and frostbite of upper limb",SNOMED
C111,C11.1,45595637,Malignant neoplasm of posterior wall of nasopharynx,ICD10,4094722,Malignant tumor of posterior wall of nasopharynx,SNOMED
D381A,D38.1,45605357,"Neoplasm of uncertain or unknown behavior of trachea, bronchus and lung",ICD10,193998,Neoplasm of uncertain behavior of digestive and respiratory systems,SNOMED
S310,S31.0,45607128,Open wound of lower back and pelvis,ICD10,4149680,Open wound of back,SNOMED
U828,U82.8,45756112,Resistance to other betalactam antibiotics,ICD10,4141201,Beta lactam resistant bacterial infection,SNOMED
G508,G50.8,45547745,Other disorders of trigeminal nerve,ICD10,440703,Trigeminal nerve disorder,SNOMED
A260,A26.0,45571422,Cutaneous erysipeloid,ICD10,4345447,Cutaneous erysipeloid,SNOMED
L571,L57.1,45577043,Actinic reticuloid,ICD10,439096,Actinic reticuloid,SNOMED
T841D,T84.1,45585290,Mechanical complication of internal fixation device of bones of limb,ICD10,432798,"Mechanical complication of internal orthopedic device, implant AND/OR graft",SNOMED
M118D,M11.8,45601325,Other specified crystal arthropathies,ICD10,80484,Crystal arthropathy,SNOMED
J200,J20.0,45605884,Acute bronchitis due to Mycoplasma pneumoniae,ICD10,4051332,Acute mycoplasmal bronchitis,SNOMED
L988B,L98.8,45606028,Other specified disorders of skin and subcutaneous tissue,ICD10,200174,Disorder of skin AND/OR subcutaneous tissue,SNOMED
Z225,Z22.5,45556821,Carrier of viral hepatitis,ICD10,4015842,Viral hepatitis carrier,SNOMED
Z026,Z02.6,45561607,Examination for insurance purposes,ICD10,4145334,Medical insurance scheme examination,SNOMED
M009X,M00.9,45591673,"Pyogenic arthritis, unspecified",ICD10,4167984,Bacterial arthritis,SNOMED
N480A,N48.0,45592141,Leukoplakia of penis,ICD10,195009,Leukoplakia of penis,SNOMED
B199,B19.9,45595609,Unspecified viral hepatitis without hepatic coma,ICD10,193693,Viral hepatitis without hepatic coma,SNOMED
L603,L60.3,45601226,Nail dystrophy,ICD10,4336254,Dystrophia unguium,SNOMED
E062,E06.2,45605391,Chronic thyroiditis with transient thyrotoxicosis,ICD10,4129364,Chronic thyroiditis with transient thyrotoxicosis,SNOMED
C835A,,45586044,Lymphoblastic (diffuse) non-Hodgkin's lymphoma,,4001328,"Diffuse non-Hodgkin's lymphoma, lymphoblastic",SNOMED
S410,S41.0,45544648,Open wound of shoulder,ICD10,4053598,Open wound of shoulder region,SNOMED
M873,M87.3,45548590,Other secondary osteonecrosis,ICD10,4344387,Bone necrosis,SNOMED
N869,N86,45592153,Erosion and ectropion of cervix uteri,ICD10,201355,Erosion and ectropion of the cervix,SNOMED
C100,C10.0,45532892,Malignant neoplasm of vallecula,ICD10,4177102,Malignant tumor of vallecula,SNOMED
J020,J02.0,45533537,Streptococcal pharyngitis,ICD10,28060,Streptococcal sore throat,SNOMED
S878,S87.8,45545888,Crushing injury of other and unspecified parts of lower leg,ICD10,73366,Crushing injury of lower leg,SNOMED
S827,S82.7,45574690,Multiple fractures of lower leg,ICD10,4015743,Multiple fractures of lower leg,SNOMED
G572,G57.2,45576599,Lesion of femoral nerve,ICD10,439807,Femoral neuropathy,SNOMED
H185C,H18.5,45581612,Hereditary corneal dystrophies,ICD10,374043,Hereditary corneal dystrophy,SNOMED
Z235,Z23.5,45595492,Need for immunization against tetanus alone,ICD10,4015724,Vaccination required,SNOMED
R233B,R23.3,45539326,Spontaneous ecchymoses,ICD10,438252,Spontaneous ecchymosis,SNOMED
D659,D65,45547609,Disseminated intravascular coagulation [defibrination syndrome],ICD10,436093,Disseminated intravascular coagulation,SNOMED
T824,T82.4,45556251,Mechanical complication of vascular dialysis catheter,ICD10,4070976,Mechanical complication of dialysis catheter,SNOMED
Q614,Q61.4,45568066,Renal dysplasia,ICD10,201111,Renal dysplasia,SNOMED
M843F,M84.3,45596702,"Stress fracture, not elsewhere classified",ICD10,40441585,Stress fracture,SNOMED
E111D,E11.1,45542739,Non-insulin-dependent diabetes mellitus with ketoacidosis,ICD10,443734,Ketoacidosis in type 2 diabetes mellitus,SNOMED
L412,L41,45586769,Parapsoriasis,ICD10 Hierarchy,320798,Parapsoriasis,SNOMED
Q822A,Q82.2,45587489,Mastocytosis,ICD10,4054320,Mast cell hyperplasia,SNOMED
I48-,I48,45596206,Atrial fibrillation and flutter,ICD10,4108832,Atrial fibrillation and flutter,SNOMED
T191,T19.1,45599191,Foreign body in bladder,ICD10,4059563,Foreign body in bladder,SNOMED
S530,S53.0,45607661,Dislocation of radial head,ICD10,4135080,Dislocation of radial head,SNOMED
562B,,,,,,,
E66,E66,45547648,Obesity,ICD10 Hierarchy,433736,Obesity,SNOMED
I2141,I21.4,45572081,Acute subendocardial myocardial infarction,ICD10,444406,Acute subendocardial infarction,SNOMED
H191X,H19.1,45576686,Herpesviral keratitis and keratoconjunctivitis,ICD10,373404,Ophthalmic herpes simplex,SNOMED
D180A,D18.0,45586089,"Hemangioma, any site",ICD10,441818,Hemangioma,SNOMED
E300,E30.0,45595810,Delayed puberty,ICD10,440366,Delay in sexual development AND/OR puberty,SNOMED
M866F,M86.6,45596781,Other chronic osteomyelitis,ICD10,134735,Chronic osteomyelitis,SNOMED
E873,E87.3,45533050,Alkalosis,ICD10,438730,Alkalosis,SNOMED
T848H,T84.8,45537068,"Other complications of internal orthopedic prosthetic devices, implants and grafts",ICD10,434822,Complication of internal prosthetic device,SNOMED
K823,K82.3,45562515,Fistula of gallbladder,ICD10,200154,Fistula of gallbladder,SNOMED
G020,G02.0,45576567,Meningitis in viral diseases classified elsewhere,ICD10,433403,Viral meningitis,SNOMED
H356X,H35.6,45581656,Retinal hemorrhage,ICD10,374025,Retinal hemorrhage,SNOMED
M080H,M08.0,45586848,Juvenile rheumatoid arthritis,ICD10,4253901,Juvenile rheumatoid arthritis,SNOMED
L502,L50.2,45591637,Urticaria due to cold and heat,ICD10,4065355,Urticaria due to cold and heat,SNOMED
S740,S74.0,45540741,Injury of sciatic nerve at hip and thigh level,ICD10,382034,Injury of sciatic nerve,SNOMED
O230,O23.0,45543918,Infections of kidney in pregnancy,ICD10,4060295,Infections of kidney in pregnancy,SNOMED
S9201,S92.0,45545962,Fracture of calcaneus,ICD10,4138414,Fracture of calcaneus,SNOMED
T240,T24.0,45546221,"Burn of unspecified degree of hip and lower limb, except ankle and foot",ICD10,197751,Burn of lower limb,SNOMED
E137,E13.7,45547637,Other specified diabetes mellitus with multiple complications,ICD10,40480000,Multiple complications due to diabetes mellitus,SNOMED
D570,D57.0,45571634,Sickle-cell anemia with crisis,ICD10,26942,Hemoglobin SS disease with crisis,SNOMED
F559,F55,45576553,Abuse of non-dependence-producing substances,ICD10,4148093,Abuse of non-dependence-producing substances,SNOMED
S432,S43.2,45592989,Dislocation of sternoclavicular joint,ICD10,4136562,Dislocation of sternoclavicular joint,SNOMED
N140,N14.0,45606482,Analgesic nephropathy,ICD10,4244418,Analgesic nephropathy,SNOMED
C112,C11.2,45552244,Malignant neoplasm of lateral wall of nasopharynx,ICD10,4177103,Malignant tumor of lateral wall of nasopharynx,SNOMED
D485A,D48.5,45586113,Neoplasm of uncertain or unknown behavior of skin,ICD10,135777,Neoplasm of uncertain behavior of skin,SNOMED
R600A,R60.0,45597193,Localized edema,ICD10,4171917,Localized edema,SNOMED
UA5502,,,,,,,
Z418,Z41.8,45542431,Other procedures for purposes other than remedying health state,ICD10,,,
S863,S86.3,45608558,Injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level,ICD10,4059258,Injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level,SNOMED
UA4401,,,,,,,
UA5204,,,,,,,
G909,G90.9,45538145,"Disorder of autonomic nervous system, unspecified",ICD10,434633,Disorder of autonomic nervous system,SNOMED
E129,E12.9,45547629,Malnutrition-related diabetes mellitus without complications,ICD10,4096042,Malnutrition-related diabetes mellitus without complications,SNOMED
C741,C74.1,45590922,Malignant neoplasm of medulla of adrenal gland,ICD10,198104,Primary malignant neoplasm of adrenal gland,SNOMED
Q531,Q53.1,45597134,"Undescended testicle, unilateral",ICD10,437655,Undescended testicle,SNOMED
B181G,B18.1,45600448,Chronic viral hepatitis B without delta-agent,ICD10,439674,Chronic viral hepatitis B without delta-agent,SNOMED
M996,M99.6,45562996,Osseous and subluxation stenosis of intervertebral foramina,ICD10,4069653,Osseous and subluxation stenosis of intervertebral foramina,SNOMED
T874H,T87.4,45537094,Infection of amputation stump,ICD10,4176170,Infection of amputation stump,SNOMED
M839,M83.9,45543709,"Adult osteomalacia, unspecified",ICD10,432594,Osteomalacia,SNOMED
L578A,L57.8,45548198,Other skin changes due to chronic exposure to nonionizing radiation,ICD10,4061844,Skin changes due to chronic exposure to non-ionizing radiation,SNOMED
C340,C34.0,45552250,Malignant neoplasm of main bronchus,ICD10,4157333,Malignant neoplasm of main bronchus,SNOMED
Z390C,Z39.0,45556829,Care and examination immediately after delivery,ICD10,4047392,Postpartum care,SNOMED
J980,J98.0,45562474,"Diseases of bronchus, not elsewhere classified",ICD10,4116777,Bronchial finding,SNOMED
L919,L91.9,45586799,"Hypertrophic disorder of skin, unspecified",ICD10,141375,Hypertrophic condition of skin,SNOMED
UA5102,,,,,,,
UB6200,,,,,,,
C835,,45586044,Lymphoblastic (diffuse) non-Hodgkin's lymphoma,,4001328,"Diffuse non-Hodgkin's lymphoma, lymphoblastic",SNOMED
Z724,Z72.4,45537667,Inappropriate diet and eating habits,ICD10,42872393,Inappropriate diet and eating habits,SNOMED
D219B,D21.9,45552335,"Other benign neoplasm of connective and other soft tissue, unspecified",ICD10,374882,Benign connective tissue neoplasm,SNOMED
A048,A04.8,45561679,Other specified bacterial intestinal infections,ICD10,193402,Bacterial enteritis,SNOMED
I461,I46.1,45567177,"Sudden cardiac death, so described",ICD10,4317150,Sudden cardiac death,SNOMED
T862,T86.2,45580472,Heart transplant failure and rejection,ICD10,4309007,Heart transplant failure and rejection,SNOMED
M233L,M23.3,45586923,Other meniscus derangements,ICD10,75346,Derangement of meniscus,SNOMED
F681,F68.1,45605510,"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]",ICD10,440984,Factitious disorder,SNOMED
UA3491,,,,,,,
N859,N85.9,45539069,"Noninflammatory disorder of uterus, unspecified",ICD10,4329445,Noninflammatory disorder of uterus,SNOMED
J380X,J38.0,45543265,Paralysis of vocal cords and larynx,ICD10,4152838,Paralysis of vocal cords or larynx,SNOMED
F708,F70.8,45571775,"Mild mental retardation, other impairments of behavior",ICD10,432612,Mild mental retardation,SNOMED
S119,S11.9,45582857,"Open wound of neck, part unspecified",ICD10,4053597,Open wound of neck,SNOMED
Z464,Z46.4,45595519,Fitting and adjustment of orthodontic device,ICD10,4106051,Adjust orthodontic appliance,SNOMED
UA5304,,,,,,,
K421,K42.1,45543313,Umbilical hernia with gangrene,ICD10,198797,Umbilical hernia with gangrene,SNOMED
E830,E83.0,45557141,Disorders of copper metabolism,ICD10,436672,Disorder of copper metabolism,SNOMED
714X,,,,,,,
F525,F52.5,45562059,Nonorganic vaginismus,ICD10,198131,Psychologic vaginismus,SNOMED
J383B,J38.3,45562449,Other diseases of vocal cords,ICD10,254669,Disorder of vocal cord,SNOMED
S9231,S92.3,45574912,Fracture of metatarsal bone,ICD10,435644,Metatarsal bone fracture,SNOMED
Z320,Z32.0,45585821,"Pregnancy, not (yet) confirmed",ICD10,4095475,Pregnancy test finding,SNOMED
Z884,Z88.4,45605167,Personal history of allergy to anesthetic agent,ICD10,4302047,Anesthetic allergy,SNOMED
M821,M82.1,45538884,Osteoporosis in endocrine disorders,ICD10,4002134,Osteoporosis in endocrine disorders,SNOMED
N601,N60.1,45539056,Diffuse cystic mastopathy,ICD10,78804,Fibrocystic disease of breast,SNOMED
J940,J94.0,45543280,Chylous effusion,ICD10,4080185,Chylous effusion,SNOMED
B440,B44.0,45547455,Invasive pulmonary aspergillosis,ICD10,4137770,Invasive pulmonary aspergillosis,SNOMED
S9290,S92.9,45560363,"Fracture of foot, unspecified",ICD10,4048393,Fracture of foot,SNOMED
K108,K10.8,45567292,Other specified diseases of jaws,ICD10,435569,Disorder of jaw,SNOMED
B371,B37.1,45581159,Pulmonary candidiasis,ICD10,260041,Candidiasis of lung,SNOMED
L029D,L02.9,45591620,"Cutaneous abscess, furuncle and carbuncle, unspecified",ICD10,,,
M240H,M24.0,45533792,Loose body in joint,ICD10,79104,Loose body in joint,SNOMED
I621,I62.1,45548025,Nontraumatic extradural hemorrhage,ICD10,436430,Nontraumatic extradural hemorrhage,SNOMED
C824,C82.4,45552299,Follicular lymphoma grade IIIb,ICD10,194878,Nodular lymphoma of extranodal AND/OR solid organ site,SNOMED
T840C,T84.0,45570736,Mechanical complication of internal joint prosthesis,ICD10,80269,Mechanical complication of internal joint prosthesis,SNOMED
O814B,O81.4,45582577,Vacuum extractor delivery,ICD10,442069,Vacuum extractor delivery - delivered,SNOMED
J387B,J38.7,45601129,Other diseases of larynx,ICD10,31602,Disorder of the larynx,SNOMED
F380,F38.0,45533101,Other single mood [affective] disorders,ICD10,435226,"Bipolar affective disorder, current episode mixed",SNOMED
F919,F91.9,45533125,"Conduct disorder, unspecified",ICD10,443617,Conduct disorder,SNOMED
N906,N90.6,45558178,Hypertrophy of vulva,ICD10,432966,Hypertrophy of vulva,SNOMED
S240,S24.0,45578067,Concussion and edema of thoracic spinal cord,ICD10,4059119,Concussion and edema of thoracic spinal cord,SNOMED
Z362,Z36.2,45595501,Other antenatal screening based on amniocentesis,ICD10,4087235,Antenatal screening,SNOMED
I880,I88.0,45596272,Nonspecific mesenteric lymphadenitis,ICD10,4147494,Nonspecific mesenteric adenitis,SNOMED
M866D,M86.6,45596781,Other chronic osteomyelitis,ICD10,134735,Chronic osteomyelitis,SNOMED
S302,S30.2,45602319,Contusion of external genital organs,ICD10,73065,"Contusion, genital organs",SNOMED
K431,K43.1,45538527,Ventral hernia with gangrene,ICD10,199868,Incisional hernia with gangrene,SNOMED
M212,M21.2,45548348,Flexion deformity,ICD10,4069933,Flexion deformity,SNOMED
D239X,D23.9,45557064,"Other benign neoplasm of skin, unspecified",ICD10,138102,Benign neoplasm of skin,SNOMED
Z380,Z38.0,45566424,"Singleton, born in hospital",ICD10,4014295,Single live birth,SNOMED
K130A,K13.0,45576980,Diseases of lips,ICD10,135858,Disorder of lip,SNOMED
M100C,M10.0,45577131,Idiopathic gout,ICD10,4084229,Primary gout,SNOMED
E310,E31.0,45581365,Autoimmune polyglandular failure,ICD10,4223448,Autoimmune polyendocrinopathy,SNOMED
Z749,Z74.9,45585854,"Problem related to care-provider dependency, unspecified",ICD10,,,
N162,N16.2,45596858,Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism,ICD10,4056592,Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism,SNOMED
Z311B,Z31.1,45600316,Artificial insemination,ICD10,4239302,Artificial insemination,SNOMED
J370A,J37.0,45601128,Chronic laryngitis,ICD10,24970,Chronic laryngitis,SNOMED
T200,T20.0,45608771,Burn of unspecified degree of head and neck,ICD10,4293479,Burn of head AND/OR neck,SNOMED
I408,I40.8,45533449,Other acute myocarditis,ICD10,312653,Acute myocarditis,SNOMED
N003,N00.3,45543848,"Acute nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",ICD10,4059455,"Acute nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",SNOMED
O870,O87.0,45553599,Superficial thrombophlebitis in the puerperium,ICD10,4143293,Superficial thrombophlebitis in the puerperium,SNOMED
R51,R51,45558474,Headache,ICD10,378253,Headache,SNOMED
L579,L57.9,45581950,"Skin changes due to chronic exposure to nonionizing radiation, unspecified",ICD10,4061844,Skin changes due to chronic exposure to non-ionizing radiation,SNOMED
Q998,Q99.8,45592405,Other specified chromosome abnormalities,ICD10,434153,Congenital chromosomal disease,SNOMED
M870B,M87.0,45606424,Idiopathic aseptic necrosis of bone,ICD10,4067774,Idiopathic aseptic necrosis of bone,SNOMED
M664,M66.4,45533902,Spontaneous rupture of other tendons,ICD10,439907,Non-traumatic tendon rupture,SNOMED
C439D,C43.9,45547491,"Malignant melanoma of skin, unspecified",ICD10,141232,Malignant melanoma of skin,SNOMED
H505X,H50.5,45547930,Heterophoria,ICD10,381870,Phoria,SNOMED
B159,B15.9,45566537,Hepatitis A without hepatic coma,ICD10,196625,Viral hepatitis A without hepatic coma,SNOMED
N641,N64.1,45572722,Fat necrosis of breast,ICD10,436470,Fat necrosis of breast,SNOMED
